Loading detector: yolov8n_openvino_model [openvino]
Loading pose model: yolov8n-pose_openvino_model [openvino]
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
스트림 확인 중: rtsp://127.0.0.1:8554/seatnow
Live: rtsp://127.0.0.1:8554/seatnow — 2560x1440, 29.970 fps, codec=hevc
하드웨어 디코딩 켜짐 (vaapi)
Analyzing every 15s (newest 5 frames majority vote, live)
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
Loading /home/hugo/seatnow/yolov8n-pose_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
[1575.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4929ms
[1589.9s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4986ms
[1604.9s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4917ms
[1620.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/1 inference=7826ms
[1635.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6443ms
[1650.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6506ms
[1665.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6334ms
[1680.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6418ms
[1695.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5090ms
[1710.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4998ms
[1725.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5029ms
[1740.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5005ms
[1755.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4994ms
