Loading detector: yolov8n_openvino_model [openvino]
Loading pose model: yolov8n-pose_openvino_model [openvino]
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
스트림 확인 중: rtsp://127.0.0.1:8554/seatnow
Live: rtsp://127.0.0.1:8554/seatnow — 2560x1440, 29.970 fps, codec=hevc
하드웨어 디코딩 켜짐 (vaapi)
Analyzing every 15s (newest 5 frames majority vote, live; ffmpeg converts 5 frames every 150 (5s))
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
Loading /home/hugo/seatnow/yolov8n-pose_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
[2969.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3437ms
[2984.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3424ms
[2999.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3358ms
[3014.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3417ms
[3029.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3415ms
[3044.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3428ms
[3059.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3430ms
[3074.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3509ms
[3089.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3419ms
[3104.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3458ms
[3119.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3431ms
[3134.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3571ms
[3149.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3450ms
