ts,load1,mem_used_mb,mem_avail_mb,swap_used_mb,cpu_total_cores,py_cores,py_rss_mb,dec_cores,dec_rss_mb,pub_cores,pub_rss_mb,mtx_cores,mtx_rss_mb,temp_c,cpu_mhz
2026-09-06T06:27:42,1.07,2005,1792,0,1.07,0.57,1278,0.42,283,0.02,49,0.05,48,28,800
2026-09-06T06:27:52,0.98,2016,1781,0,0.79,0.28,1283,0.43,283,0.02,49,0.05,47,28,2643
2026-09-06T06:28:02,0.91,2036,1761,0,0.88,0.32,1273,0.42,283,0.02,49,0.05,48,28,1909
2026-09-06T06:28:12,1.00,2024,1773,0,1.07,0.57,1278,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:28:22,0.93,2012,1785,0,0.78,0.27,1283,0.43,283,0.02,49,0.06,47,28,2700
2026-09-06T06:28:32,0.78,2012,1785,0,0.82,0.31,1273,0.43,283,0.02,49,0.06,48,28,1266
2026-09-06T06:28:42,0.90,1979,1818,0,1.07,0.57,1236,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:28:52,0.99,2031,1766,0,0.79,0.28,1272,0.43,283,0.02,49,0.06,47,28,2600
2026-09-06T06:29:02,0.99,2025,1772,0,0.88,0.30,1263,0.43,283,0.02,49,0.06,48,28,1102
2026-09-06T06:29:12,0.99,1996,1801,0,1.07,0.57,1267,0.43,283,0.01,49,0.05,47,28,800
2026-09-06T06:29:22,1.00,2000,1797,0,0.79,0.28,1283,0.43,283,0.02,49,0.06,47,28,2614
2026-09-06T06:29:32,1.00,2006,1791,0,0.82,0.31,1273,0.43,283,0.02,49,0.06,48,28,1200
2026-09-06T06:29:42,1.07,2006,1791,0,1.06,0.57,1278,0.41,283,0.02,49,0.05,46,28,900
2026-09-06T06:29:52,0.98,2006,1791,0,0.79,0.28,1283,0.43,283,0.02,49,0.05,47,28,2675
2026-09-06T06:30:02,0.91,2060,1737,0,0.87,0.30,1263,0.42,283,0.02,49,0.05,47,28,1026
2026-09-06T06:30:12,1.00,2025,1772,0,1.07,0.57,1267,0.42,283,0.01,49,0.05,47,28,800
2026-09-06T06:30:23,1.09,2022,1775,0,0.82,0.30,1272,0.44,283,0.02,49,0.06,46,28,2700
2026-09-06T06:30:33,0.92,2023,1774,0,0.81,0.29,1273,0.43,283,0.02,49,0.06,48,28,800
2026-09-06T06:30:43,0.85,2032,1765,0,1.08,0.57,1278,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:30:53,0.88,2005,1792,0,0.82,0.31,1283,0.43,283,0.02,49,0.05,47,28,2225
2026-09-06T06:31:03,0.90,2020,1777,0,0.86,0.28,1263,0.43,283,0.02,49,0.05,48,28,1600
2026-09-06T06:31:13,0.83,1987,1810,0,1.08,0.58,1267,0.43,283,0.02,49,0.05,48,28,1000
2026-09-06T06:31:23,0.79,2043,1754,0,0.82,0.30,1283,0.43,283,0.02,49,0.06,47,28,2700
2026-09-06T06:31:33,0.82,2013,1784,0,0.79,0.28,1273,0.43,283,0.02,49,0.06,46,28,1200
2026-09-06T06:31:43,0.84,1994,1803,0,1.07,0.57,1236,0.42,283,0.02,49,0.05,48,28,800
2026-09-06T06:31:53,0.79,2011,1786,0,0.82,0.32,1255,0.42,283,0.02,49,0.05,47,28,2700
2026-09-06T06:32:03,0.82,2017,1780,0,0.79,0.27,1273,0.43,283,0.02,49,0.06,48,28,1802
2026-09-06T06:32:13,0.85,1981,1816,0,1.14,0.57,1238,0.42,283,0.01,49,0.05,47,28,1200
2026-09-06T06:32:23,0.95,1985,1812,0,0.84,0.32,1255,0.43,283,0.02,49,0.06,47,28,2700
2026-09-06T06:32:33,0.96,2031,1766,0,0.79,0.28,1273,0.43,283,0.02,49,0.06,48,28,1235
2026-09-06T06:32:43,0.89,2000,1797,0,1.08,0.57,1278,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:32:53,0.83,1995,1802,0,0.84,0.32,1265,0.44,283,0.02,49,0.05,46,28,2689
2026-09-06T06:33:03,0.78,2000,1797,0,0.78,0.26,1273,0.43,283,0.02,49,0.06,48,28,800
